time,latitude,longitude,mag,net,place
2018-02-10T01:53:42.420Z,34.7861667,-118.6246667,1.79,ci,"2km NW of Neenach, CA"
2018-02-10T01:51:26.730Z,38.8156662,-122.8160019,1.32,nc,"7km NW of The Geysers, CA"
2018-02-10T01:47:30.840Z,38.8098335,-122.8170013,0.55,nc,"6km NW of The Geysers, CA"
2018-02-10T01:47:22.270Z,34.1478333,-117.4271667,1.13,ci,"6km NNE of Fontana, CA"
2018-02-10T01:44:11.660Z,38.8074989,-122.8184967,1.12,nc,"6km WNW of The Geysers, CA"
2018-02-10T01:42:08.070Z,38.8136673,-122.821167,0.72,nc,"7km NW of The Geysers, CA"
2018-02-10T01:42:03.870Z,38.8106651,-122.8186646,1.18,nc,"6km NW of The Geysers, CA"
2018-02-10T01:40:29.770Z,38.8195,-122.8028336,1.83,nc,"6km NW of The Geysers, CA"
2018-02-10T01:40:19.460Z,38.8096657,-122.8209991,1.11,nc,"7km WNW of The Geysers, CA"
2018-02-10T01:39:32.510Z,56.2427,-148.5652,3.5,us,"290km SE of Kodiak, Alaska"
2018-02-10T01:39:01.340Z,38.808,-122.8175,3.23,nc,"6km WNW of The Geysers, CA"
2018-02-10T01:37:34.730Z,46.5855,-121.7531667,2.66,uw,"7km WSW of Packwood, Washington"
2018-02-10T01:31:39.590Z,14.8541,-92.5312,4.1,us,"8km W of Mazatan, Mexico"
2018-02-10T01:20:58.318Z,38.644,-118.7971,0.8,nn,"20km NW of Hawthorne, Nevada"
2018-02-10T01:12:50.860Z,33.4846667,-116.7918333,1.41,ci,"8km NE of Aguanga, CA"
2018-02-10T01:12:43.170Z,33.7775,-117.3005,1.7,ci,"3km WNW of Good Hope, CA"
2018-02-10T01:07:28.193Z,39.3935,-120.1571,0.8,nn,"7km NNE of Truckee, California"
2018-02-10T01:05:27.582Z,38.2535,-118.6811,-0.1,nn,"30km S of Hawthorne, Nevada"
2018-02-10T00:52:51.852Z,63.5518,-147.353,1,ak,"81km ENE of Cantwell, Alaska"
2018-02-10T00:46:53.777Z,61.137,-149.7126,1.6,ak,"13km SE of Anchorage, Alaska"
2018-02-10T00:41:43.080Z,35.9824982,-120.9471664,1.83,nc,"6km SW of San Ardo, CA"
2018-02-10T00:32:56.410Z,45.8918333,-122.4418333,1.39,uw,"2km S of Amboy, Washington"
2018-02-10T00:31:19.880Z,-8.8535,117.1527,4.9,us,"32km SSW of Batudulang, Indonesia"
2018-02-10T00:30:53.470Z,17.8895,-66.8473,1.65,pr,"10km SSE of Maria Antonia, Puerto Rico"
2018-02-10T00:28:59.570Z,34.1466667,-117.4286667,2.19,ci,"6km NNE of Fontana, CA"
2018-02-10T00:26:09.094Z,61.9943,-151.9666,1.8,ak,"103km WSW of Talkeetna, Alaska"
2018-02-10T00:18:52.850Z,37.6586667,-118.862,0.15,nc,"11km ENE of Mammoth Lakes, CA"
2018-02-10T00:05:52.967Z,64.9922,-147.3912,0.8,ak,"22km NNE of Badger, Alaska"
2018-02-10T00:01:58.765Z,39.0072,-118.3921,0.7,nn,"43km WNW of Gabbs, Nevada"
2018-02-10T00:00:39.630Z,46.5351667,-122.9643333,1.41,uw,"5km NNW of Winlock, Washington"
2018-02-09T23:59:24.560Z,-21.4142,-179.3235,5.6,us,"106km SW of Ndoi Island, Fiji"
2018-02-09T23:55:58.560Z,38.7763329,-122.7181702,1.35,nc,"2km W of Anderson Springs, CA"
2018-02-09T23:51:56.696Z,60.2635,-141.3112,1.4,ak,"65km ENE of Cape Yakataga, Alaska"
2018-02-09T23:50:48.350Z,33.2055,-117.2055,1.03,ci,"4km E of Vista, CA"
2018-02-09T23:50:14.470Z,35.7698333,-117.637,1.35,ci,"17km NNE of Ridgecrest, CA"
2018-02-09T23:43:33.028Z,60.0048,-139.4973,1.4,ak,"52km NNE of Yakutat, Alaska"
2018-02-09T23:41:44.051Z,39.0073,-118.3965,0.7,nn,"43km WNW of Gabbs, Nevada"
2018-02-09T23:40:39.930Z,36.8855019,-121.6018295,1.68,nc,"4km E of Aromas, CA"
2018-02-09T23:39:54.790Z,33.4923333,-116.7795,0.6,ci,"10km NE of Aguanga, CA"
2018-02-09T23:33:44.743Z,62.0476,-149.6451,2.6,ak,"16km SE of Y, Alaska"
2018-02-09T23:32:16.750Z,33.5135,-116.4465,0.65,ci,"21km SW of La Quinta, CA"
2018-02-09T23:09:30.110Z,38.8064995,-122.8280029,0.94,nc,"7km WNW of The Geysers, CA"
2018-02-09T22:53:06.740Z,-14.9662,-172.6141,5.1,us,"134km S of Gataivai, Samoa"
2018-02-09T22:52:47.290Z,38.7258339,-122.7468338,0.74,nc,"6km S of The Geysers, CA"
2018-02-09T22:38:14.890Z,37.4583333,-118.8231667,1.12,nc,"17km SW of Toms Place, CA"
2018-02-09T22:36:31.640Z,34.0156667,-117.2096667,0.89,ci,"5km SSW of Redlands, CA"
2018-02-09T22:20:11.950Z,49.4121667,-120.5401667,2.14,uw,"5km SSW of Princeton, Canada"
2018-02-09T22:17:47.600Z,32.4457,89.6529,4.2,us,"79km NNW of Pubu, China"
2018-02-09T22:13:55.300Z,41.646,-111.6738333,2.23,uu,"13km ESE of Providence, Utah"
2018-02-09T22:13:33.280Z,46.9493333,-124.0676667,1.86,uw,"7km ESE of Ocean Shores, Washington"
2018-02-09T22:01:49.307Z,59.9581,-153.1306,2.5,ak,"62km SSW of Redoubt Volcano, Alaska"
2018-02-09T21:58:34.980Z,34.4585,-117.8878333,0.35,ci,"6km SSE of Pearblossum, CA"
2018-02-09T21:52:17.944Z,62.1953,-148.9681,2.1,ak,"44km N of Sutton-Alpine, Alaska"
2018-02-09T21:46:50.418Z,62.7721,-151.5705,1.9,ak,"90km NW of Talkeetna, Alaska"
2018-02-09T21:27:40.889Z,64.1303,-146.9811,1.5,ak,"44km S of Salcha, Alaska"
2018-02-09T21:14:26.740Z,19.1940002,-155.4956665,2.16,hv,"2km SW of Pahala, Hawaii"
2018-02-09T21:07:16.180Z,36.0403333,-117.4958333,1.58,ci,"32km NNW of Searles Valley, CA"
2018-02-09T20:55:36.871Z,39.0092,-118.4078,1.4,nn,"44km WNW of Gabbs, Nevada"
2018-02-09T20:50:31.500Z,19.2403,-64.88,3.17,pr,"102km N of Charlotte Amalie, U.S. Virgin Islands"
2018-02-09T20:32:42.282Z,60.1839,-146.1577,1.8,ak,"45km SSW of Cordova, Alaska"
2018-02-09T20:30:00.760Z,35.9613333,-120.5136667,0.71,nc,"10km NW of Parkfield, CA"
2018-02-09T20:25:59.250Z,46.1405,-119.2006667,1.8,uw,"6km W of Highland, Washington"
2018-02-09T20:17:44.150Z,-7.5932,128.3309,4.2,us,"Kepulauan Barat Daya, Indonesia"
2018-02-09T20:16:46.920Z,38.8250008,-122.7976685,1.89,nc,"6km NW of The Geysers, CA"
2018-02-09T20:15:45.680Z,47.0196667,-112.9213333,2.42,mb,"19km WNW of Lincoln, Montana"
2018-02-09T20:15:09.630Z,37.5833333,-119.0038333,0.14,nc,"6km SSW of Mammoth Lakes, CA"
2018-02-09T20:10:42.580Z,34.9933333,-118.1906667,1.28,ci,"7km SSW of Mojave, CA"
2018-02-09T20:05:47.430Z,46.0101667,-112.4613333,1.46,mb,"5km E of Butte, Montana"
2018-02-09T19:55:13.910Z,51.6244,177.3083,5.1,us,"56km SSW of Kiska Volcano, Alaska"
2018-02-09T19:53:44.920Z,33.6591667,-116.7166667,0.66,ci,"9km S of Idyllwild, CA"
2018-02-09T19:51:47.451Z,64.4498,-146.8965,1,ak,"8km S of Salcha, Alaska"
2018-02-09T19:48:27.080Z,19.3996658,-155.2859955,1.83,hv,"6km SW of Volcano, Hawaii"
2018-02-09T19:42:29.580Z,19.0886,-64.9295,3.41,pr,"83km NNW of Road Town, British Virgin Islands"
2018-02-09T19:28:24.390Z,46.4903333,-122.445,0.85,uw,"15km WSW of Morton, Washington"
2018-02-09T19:12:46.770Z,38.4415,-118.6789,0.1,nn,"10km SSW of Hawthorne, Nevada"
2018-02-09T19:11:42.456Z,38.4423,-118.6833,-0.1,nn,"10km SSW of Hawthorne, Nevada"
2018-02-09T19:06:47.470Z,33.4816667,-116.4481667,0.8,ci,"22km ESE of Anza, CA"
2018-02-09T19:01:35.757Z,38.4453,-118.7131,0.8,nn,"11km SW of Hawthorne, Nevada"
2018-02-09T19:00:37.293Z,38.4421,-118.7048,0.4,nn,"11km SW of Hawthorne, Nevada"
2018-02-09T18:57:42.230Z,36.7750015,-121.4954987,1.78,nc,"9km SSE of San Juan Bautista, CA"
2018-02-09T18:54:59.070Z,-6.7604,125.2185,4.3,us,Banda Sea
2018-02-09T18:54:50.710Z,46.2906667,-119.6688333,1.68,uw,"12km NE of Prosser, Washington"
2018-02-09T18:54:01.468Z,38.445,-118.6686,0.3,nn,"9km SSW of Hawthorne, Nevada"
2018-02-09T18:49:54.180Z,36.7770004,-121.4940033,1.89,nc,"9km SSE of San Juan Bautista, CA"
2018-02-09T18:48:52.440Z,36.7765007,-121.4950027,1.89,nc,"9km SSE of San Juan Bautista, CA"
2018-02-09T18:44:20.045Z,38.4411,-118.6962,0.3,nn,"11km SW of Hawthorne, Nevada"
2018-02-09T18:43:54.079Z,38.4418,-118.6972,0.1,nn,"11km SW of Hawthorne, Nevada"
2018-02-09T18:43:09.380Z,24.019,121.8215,4.6,us,"22km ENE of Hualian, Taiwan"
2018-02-09T18:41:18.336Z,60.7742,-152.1667,1.8,ak,"45km NE of Redoubt Volcano, Alaska"
2018-02-09T18:39:53.051Z,38.4422,-118.712,1.7,nn,"11km SW of Hawthorne, Nevada"
2018-02-09T18:18:50.738Z,61.2926,-146.788,1.7,ak,"29km NW of Valdez, Alaska"
2018-02-09T17:58:46.175Z,38.6884,-119.5641,0.3,nn,"21km WSW of Smith Valley, Nevada"
2018-02-09T17:56:43.600Z,37.5781667,-119.0038333,0.42,nc,"7km SSW of Mammoth Lakes, CA"
2018-02-09T17:48:30.119Z,61.6005,-147.0482,1.5,ak,"64km NW of Valdez, Alaska"
2018-02-09T17:43:37.240Z,18.632,-61.9848,5.2,us,"111km N of Codrington, Barbuda"
2018-02-09T17:33:25.243Z,66.1108,-148.9928,1.8,ak,"138km SSE of Coldfoot, Alaska"
2018-02-09T17:30:52.800Z,33.5086667,-116.7921667,0.73,ci,"10km NE of Aguanga, CA"
2018-02-09T17:29:49.380Z,33.5125,-116.7933333,0.42,ci,"10km NE of Aguanga, CA"
2018-02-09T17:17:33.650Z,35.5711667,-118.3626667,0.97,ci,"11km ESE of Lake Isabella, CA"
2018-02-09T17:16:43.350Z,19.1595,-64.7875,3.27,pr,"89km N of Road Town, British Virgin Islands"
2018-02-09T17:15:35.851Z,38.359,-118.9099,0.8,nn,"30km SW of Hawthorne, Nevada"
2018-02-09T17:06:50.770Z,19.1148,-64.744,3.39,pr,"68km NNW of Road Town, British Virgin Islands"
2018-02-09T17:04:35.630Z,19.2101,-64.8895,3.19,pr,"110km NNW of Road Town, British Virgin Islands"
2018-02-09T17:01:41.110Z,41.6605,-111.657,1.54,uu,"14km ESE of Providence, Utah"
2018-02-09T16:59:54.040Z,36.6098328,-121.1640015,1.82,nc,"9km NNW of Pinnacles, CA"
2018-02-09T16:57:39.220Z,33.2355,-116.7731667,0.71,ci,"1km SW of Lake Henshaw, CA"
2018-02-09T16:56:59.960Z,41.6576667,-111.6496667,1.26,uu,"14km ESE of Providence, Utah"
2018-02-09T16:55:16.010Z,38.8056679,-122.8259964,0.59,nc,"7km WNW of The Geysers, CA"
2018-02-09T16:52:46.150Z,38.8068352,-122.8326645,0.39,nc,"7km WNW of The Geysers, CA"
